Reported_Date,Bullish,Neutral,Bearish,Total,Bullish_8-week_Mov_Avg,Bull-Bear_Spread,Bullish_Average,Bullish_Average_=+St. Dev.,Bullish_Average_=- St. Dev.,S&P500_Weekly_High,S&P500_Weekly_Low,S&P500_Weekly_Close
6/26/1987,,,,,,,0.38300,0.48400,0.28100,,,
7/17/1987,,,,,,,0.38300,0.48400,0.28100,314.59,307.63,314.59
7/24/1987,0.36000,0.50000,0.14000,1.00000,,0.22000,0.38300,0.48400,0.28100,311.39,307.81,309.27
7/31/1987,0.26000,0.48000,0.26000,1.00000,,0.00000,0.38300,0.48400,0.28100,318.66,310.65,318.66
8/7/1987,0.56000,0.15000,0.29000,1.00000,,0.27000,0.38300,0.48400,0.28100,323.00,316.23,323.00
8/14/1987,0.45000,0.35000,0.20000,1.00000,,0.25000,0.38300,0.48400,0.28100,334.65,323.00,333.99
8/21/1987,0.66000,0.28000,0.06000,1.00000,,0.60000,0.38300,0.48400,0.28100,335.90,329.25,335.90
8/28/1987,0.52000,0.18000,0.30000,1.00000,,0.22000,0.38300,0.48400,0.28100,331.38,323.04,323.04
9/4/1987,0.42000,0.17000,0.41000,1.00000,,0.01000,0.38300,0.48400,0.28100,329.79,316.70,316.70
9/11/1987,0.50000,0.23000,0.27000,1.00000,0.46630,0.23000,0.38300,0.48400,0.28100,321.98,313.56,321.98
9/18/1987,0.60000,0.29000,0.11000,1.00000,0.49630,0.49000,0.38300,0.48400,0.28100,323.08,314.86,314.86
9/25/1987,0.53000,0.17000,0.30000,1.00000,0.53000,0.23000,0.38300,0.48400,0.28100,321.19,310.54,320.16
10/2/1987,0.44000,0.26000,0.30000,1.00000,0.51500,0.14000,0.38300,0.48400,0.28100,328.07,321.69,328.07
10/9/1987,0.46000,0.39000,0.15000,1.00000,0.51630,0.31000,0.38300,0.48400,0.28100,328.08,311.07,311.07
10/16/1987,0.37000,0.30000,0.33000,1.00000,0.48000,0.04000,0.38300,0.48400,0.28100,314.52,282.70,282.70
10/23/1987,0.39000,0.30000,0.31000,1.00000,0.46380,0.08000,0.38300,0.48400,0.28100,258.39,224.84,248.22
10/30/1987,0.44000,0.23000,0.33000,1.00000,0.46630,0.11000,0.38300,0.48400,0.28100,251.79,227.67,251.79
11/6/1987,0.47000,0.31000,0.22000,1.00000,0.46250,0.25000,0.38300,0.48400,0.28100,255.75,248.31,250.41
11/13/1987,0.31000,0.41000,0.28000,1.00000,0.42630,0.03000,0.38300,0.48400,0.28100,248.52,239.00,245.64
11/20/1987,0.39000,0.42000,0.19000,1.00000,0.40880,0.20000,0.38300,0.48400,0.28100,246.76,240.05,242.00
11/27/1987,0.27000,0.46000,0.27000,1.00000,0.38750,0.00000,0.38300,0.48400,0.28100,246.39,240.34,240.34
12/4/1987,0.25000,0.33000,0.42000,1.00000,0.36130,-0.17000,0.38300,0.48400,0.28100,233.45,223.92,223.92
12/11/1987,0.23000,0.45000,0.32000,1.00000,0.34380,-0.09000,0.38300,0.48400,0.28100,238.89,228.76,235.32
12/18/1987,0.33000,0.40000,0.27000,1.00000,0.33630,0.06000,0.38300,0.48400,0.28100,249.16,242.19,249.16
12/24/1987,0.28000,0.52000,0.20000,1.00000,0.31630,0.08000,0.38300,0.48400,0.28100,253.16,249.54,252.02
12/31/1987,0.25000,0.49000,0.26000,1.00000,0.28880,-0.01000,0.38300,0.48400,0.28100,247.86,244.59,247.08
1/8/1988,0.34000,0.46000,0.20000,1.00000,0.29250,0.14000,0.38300,0.48400,0.28100,261.07,243.40,243.40
1/15/1988,0.34000,0.40000,0.26000,1.00000,0.28630,0.08000,0.38300,0.48400,0.28100,252.05,245.42,252.05
1/22/1988,0.21000,0.48000,0.31000,1.00000,0.27880,-0.10000,0.38300,0.48400,0.28100,251.88,242.63,246.50
1/29/1988,0.26000,0.45000,0.29000,1.00000,0.28000,-0.03000,0.38300,0.48400,0.28100,257.07,249.38,257.07
